name,sport,nationality,sex,date_of_birth,age (at start of games),height,weight
Olga Umaralieva,canoe,UZB,female,05/02/1988,28.5,1.61,58
Natalya Sinishin,wrestling,AZE,female,03/07/1985,31.1,1.6,58
Carina Ana Garcia Kradolfer,shooting,BOL,female,03/01/1984,32.6,1.6,58
Ingrid Oliveira,aquatics,BRA,female,07/05/1996,20.3,1.6,58
Allysha Chapman,football,CAN,female,25/01/1989,27.5,1.6,58
Ping Yao,cycling,CHN,female,19/03/1993,23.4,1.6,58
Asena Rokomarama,rugby sevens,FIJ,female,02/05/1996,20.3,1.6,58
Omar Hajjami,taekwondo,MAR,male,31/07/1990,26,1.6,58
Julieta Granada,golf,PAR,female,17/11/1986,29.7,1.6,58
Marwa Amri,wrestling,TUN,female,08/01/1989,27.6,1.6,58
Charles Correa,canoe,BRA,male,09/10/1992,23.8,1.59,58
Lina Marcela Rivas Ordonez,weightlifting,COL,female,24/04/1990,26.3,1.59,58
Martina Strutz,athletics,GER,female,04/11/1981,34.8,1.59,58
Koji Yamamuro,gymnastics,JPN,male,17/01/1989,27.6,1.59,58
Marie Yamaguchi,rugby sevens,JPN,female,22/10/1989,26.8,1.59,58
Elizabeth Cui,aquatics,NZL,female,12/08/1997,19,1.59,58
Maria Granatto,hockey,ARG,female,21/04/1995,21.3,1.58,58
Tia-Clair Toomey,weightlifting,AUS,female,22/07/1993,23.1,1.58,58
Isadora Cerullo,rugby sevens,BRA,female,24/03/1991,25.4,1.58,58
Yuderqui Maridalia Contreras,weightlifting,DOM,female,27/03/1986,30.4,1.58,58
Elissa Downie,gymnastics,GBR,female,20/07/1999,17.1,1.58,58
Judy Reynolds,equestrian,IRL,female,11/06/1981,35.2,1.58,58
Nina Balaban,shooting,MKD,female,02/11/1995,20.8,1.58,58
Angelica Roos,weightlifting,SWE,female,15/04/1989,27.3,1.58,58
Diana Ospina,football,COL,female,03/03/1989,27.4,1.57,58
Jennifer Troncy,rugby sevens,FRA,female,26/01/1986,30.5,1.57,58
Xia Lian Ni,table tennis,LUX,female,04/07/1963,53.1,1.57,58
Hsing-Chun Kuo,weightlifting,TPE,female,26/11/1993,22.7,1.57,58
Paula Ishibashi,rugby sevens,BRA,female,14/02/1985,31.5,1.56,58
Priscilla Stevaux Carnaval,cycling,BRA,female,02/12/1993,22.7,1.56,58
Sabine Kusterer,weightlifting,GER,female,04/01/1991,25.6,1.56,58
Lisa Altenburg,hockey,GER,female,23/09/1989,26.9,1.55,58
Mikiko Andoh,weightlifting,JPN,female,30/09/1992,23.9,1.55,58
Yusleidy Mariana Figueroa Roldan,weightlifting,VEN,female,09/01/1993,23.6,1.53,58
Juan Carlos Trujillo,athletics,GUA,male,17/07/1985,31.1,1.45,58
Jamila Sanmoogan,aquatics,GUY,female,20/03/1997,19.4,1.43,58
Luisito Pie,taekwondo,DOM,male,04/03/1994,22.4,1.83,57
Jip Vastenburg,athletics,NED,female,21/03/1994,22.4,1.81,57
Sage Watson,athletics,CAN,female,20/06/1994,22.1,1.8,57
Fantine Lesaffre,aquatics,FRA,female,10/11/1994,21.8,1.8,57
Paul Kipkemoi Chelimo,athletics,USA,male,27/10/1990,25.8,1.8,57
Ana Simic,athletics,CRO,female,05/05/1990,26.3,1.78,57
Claire Lambe,rowing,IRL,female,16/05/1990,26.2,1.78,57
Gianina Beleaga,rowing,ROU,female,21/05/1995,21.2,1.78,57
Ionela-Livia Lehaci,rowing,ROU,female,03/01/1995,21.6,1.78,57
Kaan Kigen Ozbilen,athletics,TUR,male,15/01/1986,30.6,1.78,57
Kseniya Sydorenko,aquatics,UKR,female,02/07/1986,30.1,1.78,57
Paul Pollock,athletics,IRL,male,25/06/1986,30.1,1.77,57
Eva Calvo Gomez,taekwondo,ESP,female,29/07/1991,25,1.76,57
Atef Saad,athletics,TUN,male,20/03/1988,28.4,1.76,57
Olga Saladukha,athletics,UKR,female,04/06/1983,33.2,1.76,57
Hristiana Todorova,gymnastics,BUL,female,28/11/1994,21.7,1.75,57
Zoulehia Abzetta Dabonne,judo,CIV,female,15/12/1992,23.7,1.75,57
Abdi Hakin Ulad,athletics,DEN,male,14/06/1991,25.2,1.75,57
Sofia Lodi,gymnastics,ITA,female,29/01/1998,18.5,1.75,57
Alina Rotaru,athletics,ROU,female,05/06/1993,23.2,1.75,57
Nikita Glasnovic,taekwondo,SWE,female,17/01/1995,21.6,1.75,57
Wissem Hosni,athletics,TUN,male,08/03/1985,31.4,1.75,57
Virginia Bardach Martin,aquatics,ARG,female,03/04/1992,24.4,1.74,57
Hedaya Wahba,taekwondo,EGY,female,21/04/1993,23.3,1.74,57
Mayu Hamada,taekwondo,JPN,female,31/01/1994,22.5,1.74,57
Diana Lobacevske,athletics,LTU,female,07/08/1980,36,1.74,57
Christine Majerus,cycling,LUX,female,25/02/1987,29.5,1.74,57
Anastasia Bogdanovski,aquatics,MKD,female,30/07/1993,23,1.74,57
Ilse Paulis,rowing,NED,female,30/07/1993,23,1.74,57
Daria Iushko,aquatics,UKR,female,05/02/1985,31.5,1.74,57
Sabrina Filzmoser,judo,AUT,female,12/06/1980,36.2,1.73,57
Mo Zhang,table tennis,CAN,female,17/01/1989,27.6,1.73,57
Feihong Pan,rowing,CHN,female,17/07/1989,27.1,1.73,57
Aditi Ashok,golf,IND,female,29/03/1998,18.4,1.73,57
Stephenie Ann McPherson,athletics,JAM,female,25/11/1988,27.7,1.73,57
Hyo Hee Lee,volleyball,KOR,female,09/09/1980,35.9,1.73,57
Abdalaati Iguider,athletics,MAR,male,25/03/1987,29.4,1.73,57
Vanessa Garcia,aquatics,PUR,female,18/07/1984,32.1,1.73,57
Luis Ariel Molina,athletics,ARG,male,07/03/1988,28.4,1.72,57
Brooke Peris,hockey,AUS,female,16/01/1993,23.6,1.72,57
Olivia Borlee,athletics,BEL,female,10/04/1986,30.3,1.72,57
Sinead Lynch,rowing,IRL,female,30/09/1976,39.9,1.72,57
Hayat Lambarki,athletics,MAR,female,18/05/1988,28.2,1.72,57
Sophie Mackenzie,rowing,NZL,female,31/03/1992,24.4,1.72,57
Katarzyna Sokolska,athletics,POL,female,23/08/1993,23,1.72,57
Yonas Kinde,athletics,ROT,male,07/05/1980,36.3,1.72,57
Phannapa Harnsujin,taekwondo,THA,female,14/09/1997,18.9,1.72,57
Olena Kolesnychenko,athletics,UKR,female,03/06/1993,23.2,1.72,57
Emma Moffatt,triathlon,AUS,female,07/09/1984,31.9,1.71,57
Sheniqua Ferguson,athletics,BAH,female,24/11/1989,26.7,1.71,57
Sara Slott Petersen,athletics,DEN,female,09/04/1987,29.3,1.71,57
Automne Pavia,judo,FRA,female,03/01/1989,27.6,1.71,57
Lisa Mayer,athletics,GER,female,02/05/1996,20.3,1.71,57
Khadija Krimi,rowing,TUN,female,18/08/1995,21,1.71,57
Julia Vasconcelos dos Santos,taekwondo,BRA,female,15/06/1992,24.2,1.7,57
Vanessa Cozzi,rowing,BRA,female,25/03/1984,32.4,1.7,57
Nirra Fields,basketball,CAN,female,03/12/1993,22.7,1.7,57
Kristijan Durasek,cycling,CRO,male,26/07/1987,29,1.7,57
Samia Ahmed,aquatics,EGY,female,20/01/1996,20.6,1.7,57
Vanessa Boslak,athletics,FRA,female,11/06/1982,34.2,1.7,57
Charlotte Dujardin,equestrian,GBR,female,12/07/1985,31.1,1.7,57
Vladimer Khinchegashvili,wrestling,GEO,male,18/04/1991,25.3,1.7,57
Fabienne Kohlmann,athletics,GER,female,06/11/1989,26.8,1.7,57
Sandra Auffarth,equestrian,GER,female,27/12/1986,29.6,1.7,57
Naima Bakkal,taekwondo,MAR,female,28/08/1990,26,1.7,57
San Naing San Naing,athletics,MYA,male,05/03/1991,25.4,1.7,57
Miri Alatrash,aquatics,PLE,female,27/06/1994,22.1,1.7,57
Klaudia Konopko,athletics,POL,female,21/02/1992,24.5,1.7,57
Weronika Deresz,rowing,POL,female,05/09/1985,30.9,1.7,57
Claudia Stef,athletics,ROU,female,25/02/1978,38.5,1.7,57
Elena Panturoiu,athletics,ROU,female,24/02/1995,21.5,1.7,57
Kirsten McCANN,rowing,RSA,female,25/08/1988,28,1.7,57
Clelia Reuse-Rard,athletics,SUI,female,01/08/1988,28,1.7,57
Phumlile Ndzinisa,athletics,SWZ,female,21/08/1992,24,1.7,57
Nour Elhouda Ettaieb,rowing,TUN,female,15/10/1996,19.8,1.7,57
Veronika Ivasiuk,weightlifting,UKR,female,12/10/1995,20.8,1.7,57
Hannah Cross,aquatics,AUS,female,29/01/1997,19.5,1.69,57
Chloe Leurquin,golf,BEL,female,09/08/1990,26,1.69,57
Larissa Oliveira,aquatics,BRA,female,16/02/1993,23.5,1.69,57
