name,sport,nationality,sex,date_of_birth,age,height,weight
Likourgos-Stefanos Tsakonas,Athletics,GRE,male,08/03/1990,26.4,1.85,80
Richard Bohus,Aquatics,HUN,male,09/04/1993,23.3,1.85,80
Giovanni de Gennaro,Canoe,ITA,male,21/07/1992,24.1,1.85,80
Shota Iizuka,Athletics,JPN,male,25/06/1991,25.1,1.85,80
Michal Pietrzak,Athletics,POL,male,03/04/1989,27.4,1.85,80
Chico Ramos,Football,POR,male,10/04/1995,21.3,1.85,80
Abdalelah Haroun,Athletics,QAT,male,01/01/1997,19.6,1.85,80
Albert Gaun,Taekwondo,RUS,male,21/06/1992,24.1,1.85,80
Aleksandr Popkov,Aquatics,RUS,male,27/12/1994,21.6,1.85,80
Yassine Trabelsi,Taekwondo,TUN,male,12/07/1990,26.1,1.85,80
Thanh An Vu,Fencing,VIE,male,07/08/1992,24,1.85,80
Hayder Shkara,Taekwondo,AUS,male,21/05/1990,26.2,1.84,80
Fernando Scavasin,Fencing,BRA,male,24/11/1984,31.7,1.84,80
Qifeng Pu,Shooting,CHN,male,03/01/1986,30.6,1.84,80
Christelle Tchoudjang Nana,Volleyball,CMR,female,07/07/1989,27.1,1.84,80
Laetitia Crescence Moma Bassoko,Volleyball,CMR,female,09/10/1993,22.8,1.84,80
Robbie Renwick,Aquatics,GBR,male,21/07/1988,28.1,1.84,80
Robin Erewa,Athletics,GER,male,24/06/1991,25.1,1.84,80
Ahmed Ibrahim,Football,IRQ,male,25/02/1992,24.5,1.84,80
Myriam Fatime Sylla,Volleyball,ITA,female,08/01/1995,21.6,1.84,80
Khader Ghetrich Baqlah,Aquatics,JOR,male,15/09/1998,17.9,1.84,80
Anna Wierzbowska,Rowing,POL,female,08/12/1990,25.7,1.84,80
Alexey Yakimenko,Fencing,RUS,male,31/10/1983,32.8,1.84,80
Henri Hurskainen,Badminton,SWE,male,13/09/1986,29.9,1.84,80
Jenny Alm,Handball,SWE,female,10/04/1989,27.3,1.84,80
Guido Pella,Tennis,ARG,male,17/05/1990,26.2,1.83,80
David Obernosterer,Badminton,AUT,male,30/05/1989,27.2,1.83,80
Ruslan Lunev,Shooting,AZE,male,25/07/1989,27,1.83,80
Cameron Pimentel,Sailing,BER,male,13/04/1991,25.3,1.83,80
Richard Hildreth,Hockey,CAN,male,03/06/1984,32.2,1.83,80
Taylor Curran,Hockey,CAN,male,19/05/1992,24.2,1.83,80
Chris Adcock,Badminton,GBR,male,27/04/1989,27.3,1.83,80
Craig Benson,Aquatics,GBR,male,30/04/1994,22.3,1.83,80
Hubertus Schmidt,Equestrian,GER,male,08/10/1959,56.9,1.83,80
Gergo Kis,Aquatics,HUN,male,19/01/1988,28.6,1.83,80
Mark Kyle,Equestrian,IRL,male,05/06/1973,43.2,1.83,80
Shane O'Donoghue,Hockey,IRL,male,24/11/1992,23.7,1.83,80
Raphael Stacchiotti,Aquatics,LUX,male,09/03/1992,24.4,1.83,80
Aaron Cook,Taekwondo,MDA,male,02/01/1991,25.6,1.83,80
Bob de Voogd,Hockey,NED,male,16/09/1988,27.9,1.83,80
Baard Magnus Nesteng,Archery,NOR,male,14/05/1979,37.3,1.83,80
Sam Webster,Cycling,NZL,male,16/07/1991,25.1,1.83,80
Arturo Rivarola Trappe,Rowing,PAR,male,02/11/1989,26.8,1.83,80
Filippa Idehn,Handball,SWE,female,15/08/1990,26,1.83,80
Fernando Luna,Rugby Sevens,ARG,male,12/05/1990,26.3,1.82,80
Alexander Peya,Tennis,AUT,male,27/06/1980,36.1,1.82,80
Jure Meglic,Canoe,AZE,male,18/10/1984,31.8,1.82,80
Glenn Surgeloose,Aquatics,BEL,male,04/09/1989,26.9,1.82,80
Emerson Duarte,Shooting,BRA,male,18/10/1971,44.8,1.82,80
Barbora Spotakova,Athletics,CZE,female,30/06/1981,35.1,1.82,80
Jenna Laukkanen,Aquatics,FIN,female,02/03/1995,21.4,1.82,80
Holder da Silva,Athletics,GBS,male,12/01/1988,28.6,1.82,80
Avtandili Tchrikishvili,Judo,GEO,male,18/03/1991,25.4,1.82,80
Junya Koga,Aquatics,JPN,male,19/07/1987,29.1,1.82,80
Tsukasa Shiotani,Football,JPN,male,05/12/1988,27.7,1.82,80
Kayla Imrie,Canoe,NZL,female,04/02/1992,24.5,1.82,80
Bogna Jozwiak,Fencing,POL,female,25/04/1983,33.3,1.82,80
Marcin Pochwala,Canoe,POL,male,14/02/1984,32.5,1.82,80
Bruno Fernandes,Football,POR,male,08/09/1994,21.9,1.82,80
Valmir Berisha,Football,SWE,male,06/06/1996,20.2,1.82,80
Sebnem Nezahat Kimyacioglu,Basketball,TUR,female,14/06/1983,33.2,1.82,80
Shane Rose,Equestrian,AUS,male,24/04/1973,43.3,1.81,80
Francisco Cortes,Hockey,ESP,male,29/03/1983,33.4,1.81,80
Joaquin Blanco Albalat,Sailing,ESP,male,25/06/1989,27.1,1.81,80
Dimitri Bascou,Athletics,FRA,male,20/07/1987,29.1,1.81,80
Thomas Ploessel,Sailing,GER,male,29/04/1988,28.3,1.81,80
Oleg Tarnovschi,Canoe,MDA,male,10/04/1992,24.3,1.81,80
Dimitri Juliet,Athletics,NED,male,28/03/1996,20.4,1.81,80
Krzysztof Maksel,Cycling,POL,male,04/07/1991,25.1,1.81,80
Travis Stevens,Judo,USA,male,28/02/1986,30.5,1.81,80
Tyson Gay,Athletics,USA,male,09/08/1982,34,1.81,80
Emmanuel Zapata,Modern Pentathlon,ARG,male,07/10/1986,29.8,1.8,80
Juan Vivaldi,Hockey,ARG,male,17/07/1979,37.1,1.8,80
Rodrigo Etchart,Rugby Sevens,ARG,male,24/01/1994,22.5,1.8,80
Matt Gohdes,Hockey,AUS,male,08/05/1990,26.3,1.8,80
Yuliya Leantsiuk,Athletics,BLR,female,31/01/1984,32.5,1.8,80
Anthony Romaniw,Athletics,CAN,male,15/09/1991,24.9,1.8,80
Bin Yang,Wrestling,CHN,male,10/07/1989,27.1,1.8,80
Anders Dahl,Equestrian,DEN,male,11/03/1976,40.4,1.8,80
Alexander Sigurbjornsson,Rowing,ESP,male,13/12/1988,27.7,1.8,80
Mario Fernandez,Hockey,ESP,male,26/04/1992,24.3,1.8,80
Alexandre Ayache,Equestrian,FRA,male,20/09/1982,33.9,1.8,80
Lucas Daniel,Archery,FRA,male,01/01/1995,21.6,1.8,80
Paul Kibikai,Judo,GAB,male,04/04/1991,25.4,1.8,80
Edward Ling,Shooting,GBR,male,07/03/1983,33.4,1.8,80
Jon Schofield,Canoe,GBR,male,10/05/1985,31.3,1.8,80
Kevin Cordon,Badminton,GUA,male,28/11/1986,29.7,1.8,80
Miguel Ferrera,Taekwondo,HON,male,25/05/1981,35.2,1.8,80
Padraig McCarthy,Equestrian,IRL,male,18/07/1977,39.1,1.8,80
Gal Nevo,Aquatics,ISR,male,29/06/1987,29.1,1.8,80
Yohan Blake,Athletics,JAM,male,26/12/1989,26.6,1.8,80
